Date,Open,High,Low,Close,Volume
2018-06-26,164.75428419007994,165.38286142068122,163.9329468561898,164.5699005126953,3270600
2018-06-27,164.8212805229355,165.93595865173754,163.43840339091835,163.44679260253906,3771700
2018-06-28,163.43002613168176,164.27650525293845,162.18124850766048,163.6060333251953,2994000
2018-06-29,164.1508084796439,166.6399747210647,163.42166316454825,163.51385498046875,4106600
2018-07-02,162.44110085941261,162.74280560913567,161.0163157807357,162.6087188720703,3822800
2018-07-03,162.9607031623847,164.02509725136252,162.09745834021288,162.27345275878906,1608400
2018-07-05,163.00264241995188,163.21216815111558,161.86282193088388,162.9355926513672,3040600
2018-07-06,163.0780475747609,163.7233903242495,161.71193589152023,162.99423217773438,2552400
2018-07-09,164.0167219091913,164.86321395537104,163.45519454552644,164.335205078125,2575100
2018-07-10,164.73748218948535,165.74320297878052,164.58662982588623,165.61749267578125,2842400
2018-07-11,165.29065293325132,165.74322286678753,164.22625868254767,165.06436157226562,3309300
2018-07-12,166.11199154445748,166.34665933242505,165.1062706262486,165.9024658203125,2709200
2018-07-13,166.32991446584307,167.5619140175899,166.32991446584307,166.52267456054688,2308100
2018-07-16,166.8997716055736,166.9668213563619,165.8521432278173,166.68186950683594,2530500
2018-07-17,166.4723202876315,168.81899729117663,166.4723202876315,168.5424346923828,4662800
2018-07-18,168.47540989033902,169.22969721193064,167.77978310830423,168.43350219726562,3787800
2018-07-19,168.3664949009612,170.32765266236657,168.08154297770105,169.82479858398438,3691100
2018-07-20,169.3638104841689,170.77181700919698,169.14590836627653,169.6739044189453,3564100
2018-07-23,169.68232060626212,170.4617501732897,169.2129722348721,169.4895477294922,2264300
2018-07-24,170.57906381314166,171.18249885912246,168.75200582667986,169.28839111328125,5058100
2018-07-25,168.79389994732563,169.53981093283795,166.8411316639276,168.4586639404297,4382700
2018-07-26,168.9028540732156,169.3973316495868,166.7070288579558,167.11769104003906,4280000
2018-07-27,167.79655329839707,168.03122103985976,164.83803889440773,165.22357177734375,3871200
2018-07-30,164.71234999451045,165.58398410895842,164.60339253309584,165.34092712402344,2331100
2018-07-31,165.68457496654304,165.96952690158227,164.9973244060454,165.54209899902344,2795900
2018-08-01,164.9889431381028,165.72647780802785,163.93293805124847,164.5196075439453,3086800
2018-08-02,163.51384932724181,164.13403716887123,162.21478752543223,163.98318481445312,3543500
2018-08-03,164.2932749540896,164.60336886776759,163.63955585645726,163.96641540527344,2309000
2018-08-06,163.94964271379683,164.31840994037069,163.52221494941284,164.00831604003906,2515700
2018-08-07,164.5614934268936,165.2738731491211,163.96643479921264,165.14816284179688,3052500
2018-08-08,165.4750346592869,166.70704691585703,165.3577007676343,165.9611358642578,2176700
2018-08-09,166.7824666593382,167.4026673703501,165.97788229879401,166.01141357421875,2466000
2018-08-10,165.39122896331835,165.88570662227457,163.96645654150151,164.5196075439453,2873000
2018-08-13,164.51959480675026,165.60074187470033,162.59195566132593,162.70928955078125,5294400
2018-08-14,163.5725587976578,164.25142017246984,160.3039622565491,161.8376922607422,11488000
2018-08-15,160.7062023644633,162.74278590917396,160.15305148006053,162.58355712890625,6049300
2018-08-16,162.60866998570822,164.3435357172222,162.3572366480948,163.75686645507812,5690100
2018-08-17,163.93289955694794,164.2513698990948,163.27918044881383,163.8993682861328,3885800
2018-08-20,164.1340493686514,166.31312176516502,163.76528209030906,165.88568115234375,2956700
2018-08-21,166.63996999053418,168.24074929951473,166.28796837294834,167.8133087158203,4124600
2018-08-22,168.29105396087124,170.59583678636307,166.48912516969872,166.75732421875,5007000
2018-08-23,167.10932641548314,168.80229774985622,166.89980070340252,167.75466918945312,3595000
2018-08-24,167.91388796774635,169.71580373149777,167.62054689530643,168.7100830078125,3054300
2018-08-27,169.99239126968794,170.09295951268575,168.61790319883846,169.27999877929688,2521300
2018-08-28,169.54816659227419,169.64873481675394,168.14853671839478,169.27159118652344,3516300
2018-08-29,169.4148435827136,170.15615872925648,169.07788916373252,169.89500427246094,2488000
2018-08-30,169.32211667575257,169.69277411217746,167.72156449553492,167.85633850097656,2825400
2018-08-31,167.95746894726585,169.24633802224733,167.88164328980784,169.12840270996094,4023300
2018-09-04,169.06102488805087,173.46676721253974,168.90096705216163,172.7591552734375,4612800
2018-09-05,172.54854586965422,174.09855655983807,171.13330921697533,171.9757080078125,3667100
2018-09-06,172.34640705756854,174.45240454208056,171.6809175082177,173.4415283203125,3490400
2018-09-07,173.07082002023174,174.5702887617452,173.05396844617408,173.72789001464844,3672700
2018-09-10,175.32846179510395,178.2684253040532,175.32846179510395,177.48500061035156,5586600
2018-09-11,179.4309741921333,180.8293595172732,178.16737578232954,180.1470184326172,5969500
2018-09-12,180.29863663489078,181.47798996046637,177.6703561641868,178.57171630859375,5660100
2018-09-13,178.11682336488695,178.11682336488695,175.80864577876548,176.44044494628906,4701100
2018-09-14,177.06379805305028,177.3502105475162,174.83986583287157,176.1203155517578,3622400
2018-09-17,176.12871546521555,176.93741099018078,175.4379423859068,175.55587768554688,3074700
2018-09-18,175.74968293247605,178.3611117552875,175.35375442946494,177.7630157470703,4338500
2018-09-19,178.58855879117633,179.15296448638702,177.4597474007549,178.31898498535156,2579100
2018-09-20,178.30216692962256,179.10244337069508,177.75459989331858,177.79672241210938,4020800
2018-09-21,177.99884175620628,179.14450446294563,177.33333960787382,178.91705322265625,9749200
2018-09-24,178.18419215457683,178.45375307800145,175.1852545778113,175.2105255126953,4623700
2018-09-25,175.92660097992933,176.31411016886682,174.20811270591807,174.76409912109375,4443300
2018-09-26,175.70754640028045,176.17928768011012,174.57030285827366,174.81460571289062,2965800
2018-09-27,174.7977618401315,175.0757550038496,173.256170398051,174.2417755126953,3218800
2018-09-28,173.90484886398966,175.9350335068122,173.82903604014692,174.50294494628906,3966100
2018-10-01,175.65702449851176,176.72686186047494,174.68825803859252,174.88201904296875,3670500
2018-10-02,174.78934821258818,175.25265731332968,172.4137772014285,172.48117065429688,4428000
2018-10-03,173.6689441823926,173.92166639972274,171.5545149131827,171.63034057617188,4162500
2018-10-04,171.5544897974917,171.64715416848043,167.02239354054666,167.510986328125,5996200
2018-10-05,167.69630651505685,168.22700892729654,163.90551256542528,165.4302520751953,5016600
2018-10-08,165.31233138161835,167.35093476548104,164.31829419627277,167.1403350830078,3731800
2018-10-09,166.75284145701806,167.78898839164398,164.75636039552248,164.89956665039062,4466800
2018-10-10,167.7300497054397,167.83956567846593,162.87783654701926,163.17266845703125,6157900
2018-10-11,163.18113265167617,165.67462674871783,158.76695681233215,159.83680725097656,5831400
2018-10-12,162.37237577290875,163.07998771077567,160.1905658708261,162.13650512695312,5450200
2018-10-15,162.04379243302725,162.82721694768918,160.64540769603718,161.0413360595703,3642800
2018-10-16,161.59735067748895,163.49274782889267,160.5696231937424,163.07154846191406,4057400
2018-10-17,159.75250791723423,160.6201776529121,154.9845276242958,155.9869842529297,8985700
2018-10-18,155.22038255376233,156.18071657442638,151.23584023207547,152.00242614746094,9262000
2018-10-19,151.91816872128243,152.46573555352407,150.4271323728619,151.50540161132812,7004300
2018-10-22,152.32252189222646,152.8111017715134,149.5762942139867,150.57875061035156,4866700
2018-10-23,148.0684619981684,151.2021870137689,147.79046881165687,150.3934783935547,7004900
2018-10-24,150.43557775425302,153.62826351882995,148.52332889810535,149.07931518554688,6791700
2018-10-25,149.5426071998723,152.05295149806588,148.961350093187,150.84832763671875,5228000
2018-10-26,149.00351182927236,149.39100809977228,143.97438969588504,145.0863494873047,9472200
2018-10-29,146.3584060736731,148.25380381313457,144.0081056785073,145.90350341796875,5918400
2018-10-30,145.86976586118305,148.62440042866507,145.4317149264031,148.46435546875,5657100
2018-10-31,149.93013202954828,150.6630277125942,147.9167994492448,148.16110229492188,6339500
2018-11-01,148.969764927513,152.356210889273,148.17790818906332,152.01925659179688,5225300
2018-11-02,153.7125151626071,154.16740487394108,149.43312757419145,151.57281494140625,4730600
2018-11-05,152.4910640660981,153.66199811192698,151.04213681966388,153.47666931152344,3885300
2018-11-06,153.25758825144538,153.86411633953094,151.6738874472078,153.32498168945312,3338800
2018-11-07,154.8244217509018,158.10135155184065,153.3670758782635,157.72227478027344,4673400
2018-11-08,157.6380888495515,158.95222889834105,156.45030347699736,158.3709716796875,4054000
2018-11-09,158.64054028248162,158.77531431473815,155.810079941335,156.67774963378906,4761100
2018-11-12,156.03752696523557,157.4864539373577,150.80623758729402,151.151611328125,7590400
2018-11-13,149.3572924530092,152.9964481620066,145.60862079946395,150.78936767578125,14274000
2018-11-14,153.83046839071784,154.07475842350286,150.91576245100904,151.5475616455078,7561100
2018-11-15,150.7978358573078,151.35382226565434,146.24888653480826,149.4078826904297,8663100
2018-11-16,146.5689622742538,149.6184416179675,146.16460162177302,149.12142944335938,6834900
2018-11-19,148.86028744627495,150.6882911750629,145.14530590681008,146.23199462890625,6203400
2018-11-20,142.57596311118985,144.89255926218408,140.6805662603764,142.40748596191406,8661000
2018-11-21,143.2077795488067,143.99120417289663,142.49173550946904,142.61810302734375,5752100
2018-11-23,142.69391858344574,143.48577543642156,141.9189133039757,142.23902893066406,2711000
2018-11-26,143.37623981373645,145.22109481292435,142.25584812806565,143.05613708496094,6140500
2018-11-27,142.45807397885946,146.0551207669904,142.213783961355,145.9203338623047,7084200
2018-11-28,146.5305503489863,150.54739936281806,144.58990952263477,150.3609619140625,7133600
2018-11-29,149.82704071507936,150.2253376088289,148.2338531400812,148.8609619140625,4329300
2018-11-30,148.93723016602902,152.8523896319436,148.39487035719725,152.81002807617188,8942400
2018-12-03,155.32691586114765,155.50488354279955,151.9880207767171,154.01339721679688,7610600
2018-12-04,153.43705266276044,154.42855312163843,147.9202384384787,148.55581665039062,7059600
2018-12-06,147.03048553489225,149.1829722560189,144.45427983527887,149.1151885986328,7571200
2018-12-07,148.59827006013592,151.14905398393165,145.96273715738033,146.42881774902344,6226100
2018-12-10,146.93726977706962,147.44573773375978,142.14076774139212,145.4966278076172,5373800
2018-12-11,147.70841303969883,148.81008478014564,145.11525540704508,145.93727111816406,5229400
2018-12-12,147.24231404550414,149.88631577710333,146.44572046460584,147.63214111328125,5912500
2018-12-13,147.716914703389,148.22538267227148,145.8186618720999,147.3440399169922,6102200
2018-12-14,146.5898001211547,148.42026903611702,145.71694014363464,146.00506591796875,4265200
2018-12-17,145.34407123930464,145.75085074619656,141.46280406112615,142.34414672851562,5631700
2018-12-18,143.13224899615568,145.71693704836952,142.79327902541885,144.09832763671875,4462200
2018-12-19,144.84406506680676,148.25923831546692,141.32720342154113,141.99667358398438,6996900
2018-12-20,140.91196634726646,141.78482630872608,137.4798404275814,139.1154022216797,7675600
2018-12-21,137.97138892736575,142.33570270905477,135.73415295894125,135.99685668945312,13034100
2018-12-24,135.72566803742208,136.77648284181913,133.97146523711075,134.0138397216797,4547400
2018-12-26,135.13244684014944,142.60684204101562,135.11549446230492,142.60684204101562,6141500
2018-12-27,141.04756906623786,144.4542731154409,138.4374587284736,144.33563232421875,5069300
2018-12-28,145.09832293700856,146.70844982641955,142.87803970551255,144.25088500976562,4552000
2018-12-31,145.310203034471,146.81017199914214,144.61529762872243,145.6068115234375,4206000
2019-01-02,143.8187161320993,146.75931424827456,143.25940391966688,146.10679626464844,4242900
2019-01-03,145.62369482668555,145.62369482668555,142.5475046934327,142.886474609375,4810500
2019-01-04,144.2169830359171,148.08131092069348,143.65768382060403,147.13217163085938,4762600
2019-01-07,147.31014215597023,150.99648952388102,147.31014215597023,150.03041076660156,4928800
2019-01-08,151.3269816195747,152.19135890799495,148.81855991821968,150.75071716308594,4722400
2019-01-09,150.73376267762768,153.61505905802673,150.08124485878628,152.30999755859375,4922000
2019-01-10,150.86937324524106,151.89477882742042,149.43720107838072,151.7422332763672,3605300
2019-01-11,150.78460110879175,152.759132728756,150.0981785617274,152.038818359375,3285100
2019-01-14,150.496489743963,151.88628734751006,149.91175553884017,151.53036499023438,3871400
2019-01-15,149.2168630262504,150.69140958825864,148.47111355614842,149.54736328125,5016100
2019-01-16,150.072785250782,150.7846300338559,149.030440180504,150.03041076660156,4075400
2019-01-17,147.46265496140384,148.6914501830879,145.75930954566556,148.1914520263672,6499200
2019-01-18,149.97953320824104,152.5726907205894,149.30158040473594,152.18287658691406,6371100
